time,Violet,Blue,Green,Yellow,Orange,Red
3/05/19 09:54:02,105,90,183,177,222,99
3/05/19 09:55:02,62,58,94,128,159,157
3/05/19 09:56:02,55,60,170,134,125,62
3/05/19 09:57:02,40,41,99,83,84,41
3/05/19 09:58:02,4,4,9,7,8,4
3/05/19 09:59:02,87,88,116,127,117,76
3/05/19 10:00:02,66,57,85,67,87,36
3/05/19 10:01:02,139,175,206,257,196,119
3/05/19 10:02:02,27,36,26,41,27,28
3/05/19 10:03:02,22,24,26,32,25,15
3/05/19 10:04:02,23,26,24,33,25,16
3/05/19 10:05:02,11,20,12,21,16,14
3/05/19 10:06:02,45,26,72,45,34,17
3/05/19 10:07:02,97,56,182,126,188,57
3/05/19 10:08:02,93,56,181,123,184,56
3/05/19 10:09:02,67,59,99,78,99,58
3/05/19 10:10:02,72,64,98,81,99,61
3/05/19 10:11:02,98,86,131,118,117,83
3/05/19 10:12:02,85,65,167,113,151,61
3/05/19 10:13:02,90,65,184,124,168,62
3/05/19 10:14:02,92,74,180,125,161,70
3/05/19 10:15:02,96,78,170,122,161,70
3/05/19 10:16:02,174,175,189,252,207,183
3/05/19 10:17:02,101,63,70,97,86,106
3/05/19 10:18:02,173,209,209,278,188,142
3/05/19 10:19:02,223,314,238,381,421,442
3/05/19 10:20:02,50,39,49,54,77,63
3/05/19 10:21:02,2478,3598,3631,7569,3895,8899
3/05/19 10:22:02,28413,17726,15178,16581,18436,12812
3/05/19 10:23:02,35589,29031,26560,25523,28234,21306
3/05/19 10:24:02,23766,38724,50771,51201,46746,48728
3/05/19 10:25:02,9679,6220,6280,6454,5982,4030
3/05/19 10:26:02,27704,45026,44782,50986,40409,48675
3/05/19 10:27:02,33963,41801,33930,37074,34314,31868
3/05/19 10:28:02,50288,51201,49145,49862,45316,46628
3/05/19 10:29:02,24806,15882,18213,17449,15776,10702
3/05/19 10:30:02,51201,51201,51201,51201,50076,47414
3/05/19 10:31:02,18470,25774,16973,21873,16864,15956
3/05/19 10:32:02,8477,10249,4689,7895,5019,7437
3/05/19 10:33:02,1980,1422,2410,3006,3025,3208
3/05/19 10:34:02,419,843,1165,1296,2055,782
3/05/19 10:35:02,425,939,1058,1517,1602,1041
3/05/19 10:36:02,514,356,904,853,1392,820
3/05/19 10:37:02,396,813,844,1010,1105,828
3/05/19 10:38:02,1106,574,1339,1210,1481,1545
3/05/19 10:39:02,374,1297,775,1333,833,1273
3/05/19 10:40:02,303,1054,715,1136,882,971
3/05/19 10:41:02,319,1011,731,1125,916,913
3/05/19 10:42:02,497,959,995,1271,1082,1200
3/05/19 10:43:02,416,883,963,1221,773,831
3/05/19 10:44:02,395,826,913,1139,699,760
3/05/19 10:45:02,474,926,1080,1369,976,1006
3/05/19 10:46:02,470,905,1083,1355,993,992
3/05/19 10:47:02,433,865,1057,1304,930,924
3/05/19 10:48:02,541,817,975,1206,1024,983
3/05/19 10:49:02,423,811,1088,1269,990,901
3/05/19 10:50:02,544,471,1080,1117,1227,867
